gameDuration,victory,FirstBlood,Dragon,Baron,Tower,Inhibitor
1670,1,1,2,0,10,2
1534,1,1,2,0,5,1
2491,0,0,3,0,7,1
2047,0,0,0,1,4,0
2024,1,0,3,1,7,1
1770,0,1,1,0,1,0
1640,1,1,2,0,10,2
2592,1,0,2,2,10,3
1396,0,0,0,0,2,0
2319,1,0,1,1,9,2
1768,0,0,3,0,2,0
1633,0,0,0,0,2,0
1670,0,0,2,0,3,0
2003,1,1,4,1,7,1
1979,1,1,2,1,11,4
1723,0,0,1,0,1,0
2414,0,0,0,0,5,0
2283,1,1,2,0,9,2
2601,0,1,1,0,6,0
2841,1,0,1,1,9,1
2821,0,0,1,0,7,1
1620,0,0,1,0,1,0
1549,0,0,0,0,0,0
1593,1,1,2,1,9,2
1621,1,0,0,0,7,1
1728,1,0,1,1,9,1
2092,0,1,4,0,1,0
1726,0,1,0,0,2,0
1980,0,0,0,0,3,0
1672,0,1,1,0,1,0
2358,1,1,4,1,9,2
1513,0,0,0,0,2,0
2421,0,0,1,0,3,0
1784,0,0,2,0,4,0
2259,1,1,3,0,9,1
1457,0,0,0,0,1,0
1790,1,1,3,0,11,3
2195,0,0,1,1,5,1
1671,1,0,0,1,9,1
1561,0,1,1,0,2,0
2170,0,0,1,0,1,0
1696,0,0,1,0,2,0
1621,0,0,0,0,1,0
1920,0,0,1,0,1,0
1993,0,0,0,1,3,0
2370,0,1,2,0,8,2
1659,0,0,0,0,1,0
1890,0,0,3,0,3,0
1846,1,1,4,2,10,2
2226,1,1,3,1,9,1
2211,1,1,0,1,9,1
2216,0,1,1,0,5,0
2288,1,0,3,2,7,2
2652,0,1,0,0,4,0
2062,1,1,4,1,10,3
2055,0,0,0,0,5,0
1091,1,0,2,0,9,2
1454,1,1,1,1,8,2
2251,1,1,3,1,11,3
1613,1,0,3,0,11,3
1683,0,0,1,0,1,0
1767,0,0,1,0,0,0
2362,1,0,3,1,9,1
1845,0,1,0,1,4,0
1779,1,0,2,1,9,2
1397,0,0,0,0,0,0
1643,1,1,3,1,10,2
1231,0,0,0,0,1,0
1350,0,0,0,0,2,0
1281,0,0,0,0,0,0
805,0,0,0,0,0,0
2173,1,1,3,1,10,2
2699,0,1,4,1,5,0
1828,1,1,3,0,9,2
1792,1,1,1,0,8,1
2069,0,0,2,0,1,0
2795,1,1,2,0,11,4
911,1,1,0,0,6,1
1565,0,0,0,0,1,0
1672,0,1,1,0,2,0
